N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
52,현대글로비스,"190,000","8,000",-4.04%,500,"71,250","37,500",44.36,"114,346",9.10,14.41,
53,SK바이오팜,"86,700",100,-0.12%,500,"67,898","78,313",6.09,"78,134",104.71,15.75,
54,한국조선해양,"95,000","1,300",-1.35%,"5,000","67,234","70,773",20.31,"180,124",-7.23,-8.95,
55,롯데케미칼,"192,000","3,500",-1.79%,"5,000","65,809","34,275",24.13,"46,308",4.89,9.87,
56,LG디스플레이,"18,100",550,-2.95%,"5,000","64,765","357,816",16.17,"2,557,218",5.46,9.68,
57,LG유플러스,"14,600",100,-0.68%,"5,000","63,745","436,611",37.56,"1,107,056",8.95,9.47,
58,CJ제일제당,"418,000","5,500",+1.33%,"5,000","62,926","15,054",22.64,"133,461",11.17,10.76,
59,한화솔루션,"31,900","1,400",-4.20%,"5,000","61,018","191,278",18.38,"745,715",9.65,8.79,
60,한온시스템,"11,400",250,-2.15%,100,"60,853","533,800",17.25,"535,627",19.72,13.83,
61,현대제철,"42,400","2,150",-4.83%,"5,000","56,581","133,446",20.95,"680,439",3.87,8.54,
62,강원랜드,"26,400",400,-1.49%,500,"56,480","213,940",18.87,"481,340",-538.78,-0.33,
63,SKC,"149,000","3,500",-2.30%,"5,000","56,424","37,868",15.42,"143,701",25.55,11.60,
64,맥쿼리인프라,"13,850",0,0.00%,0,"56,071","404,846",14.30,"890,917",N/A,N/A,
65,메리츠화재,"44,450",750,-1.66%,500,"53,618","120,625",11.67,"227,312",8.12,26.12,
66,삼성중공업,"6,050",100,-1.63%,"1,000","53,240","880,000",14.95,"4,606,774",-2.95,-36.89,
67,코웨이,"69,200",300,-0.43%,500,"51,069","73,800",61.35,"159,726",10.97,27.41,
68,미래에셋증권,"8,100",140,-1.70%,"5,000","49,841","615,316",14.04,"704,008",5.56,11.66,
69,DB손해보험,"69,800",100,-0.14%,500,"49,418","70,800",43.58,"176,171",5.68,13.38,
70,메리츠금융지주,"37,300",700,-1.84%,500,"48,882","131,051",6.84,"239,466",6.33,22.33,
71,KODEX 200,"35,410",575,-1.60%,0,"48,459","136,850",4.50,"4,718,494",N/A,N/A,
72,F&F,"126,500","13,500",-9.64%,100,"48,458","38,307",13.61,"468,511",13.91,N/A,
73,에스디바이오센서,"46,100","2,350",-4.85%,500,"47,608","103,271",12.77,"272,762",4.24,72.47,
74,현대건설,"42,550","1,600",-3.62%,"5,000","47,382","111,356",23.41,"550,175",11.65,5.89,
75,삼성엔지니어링,"23,600",600,-2.48%,"5,000","46,256","196,000",40.09,"668,450",12.42,20.67,
76,HD현대,"58,400",300,-0.51%,"1,000","46,132","78,993",16.16,"129,125",-34.87,-1.99,
77,금호석유,"147,500","5,000",-3.28%,"5,000","44,686","30,296",19.97,"125,347",2.51,47.76,
78,유한양행,"58,800",800,-1.34%,"1,000","43,060","73,231",17.95,"122,895",42.64,5.45,
79,메리츠증권,"6,510",110,-1.66%,"1,000","42,952","659,791",12.73,"1,232,388",6.15,15.77,
80,한국타이어앤테크놀로지,"34,500",750,-2.13%,500,"42,737","123,875",39.15,"274,450",7.15,7.69,
81,한국항공우주,"43,050",300,-0.69%,"5,000","41,963","97,475",17.80,"521,669",65.62,5.19,
82,쌍용C&E,"8,300",40,+0.48%,100,"41,820","503,860",3.27,"599,783",22.49,11.12,
83,GS,"43,850",250,-0.57%,"5,000","40,743","92,915",19.32,"233,107",2.87,15.55,
84,두산밥캣,"40,450","1,850",-4.37%,500,"40,551","100,249",24.84,"228,452",10.51,9.19,
85,한국금융지주,"72,500","2,000",-2.68%,"5,000","40,401","55,726",34.70,"236,837",2.53,27.12,
86,삼성카드,"33,300",250,+0.76%,"5,000","38,581","115,859",7.30,"129,441",7.00,7.53,
87,일진머티리얼즈,"83,200","5,900",-6.62%,500,"38,364","46,111",11.43,"548,858",61.13,7.85,
